Department,JobRole,JobLevel,Gender,EducationField,EnvironmentSatisfaction,MaritalStatus,WorkLifeBalance,OverTime,AvgMonthlyIncome,AvgAge,TotalEmployees,Attritions,AttritionRate
"Research & Development","Research Scientist",1,Female,Medical,3,Single,3,No,4381.00,34.0,1,0,0.00
Sales,"Sales Representative",1,Female,"Life Sciences",1,Married,2,No,2572.00,35.0,1,0,0.00
"Research & Development",Manager,5,Male,"Life Sciences",2,Divorced,2,No,18430.00,42.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,"Life Sciences",3,Married,3,Yes,1601.00,23.0,1,1,100.00
"Research & Development","Laboratory Technician",1,Male,"Life Sciences",3,Divorced,3,No,2574.67,33.7,3,0,0.00
"Research & Development","Laboratory Technician",2,Female,"Life Sciences",4,Married,3,No,3149.00,52.0,1,0,0.00
"Research & Development","Research Director",4,Male,Medical,3,Married,3,No,17639.00,50.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Female,"Life Sciences",2,Married,3,Yes,2319.00,29.0,1,1,100.00
"Research & Development","Research Director",3,Male,Medical,3,Married,4,No,12519.50,37.5,2,0,0.00
Sales,"Sales Executive",2,Female,Marketing,1,Single,3,No,5324.00,33.0,1,1,100.00
"Research & Development",Manager,4,Female,Other,3,Married,2,Yes,16752.00,47.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Female,Other,3,Married,3,No,5228.00,36.0,1,0,0.00
"Research & Development","Research Director",5,Male,"Life Sciences",4,Single,3,Yes,19246.00,58.0,1,1,100.00
"Research & Development","Manufacturing Director",2,Female,"Life Sciences",4,Married,3,Yes,6062.00,42.0,1,0,0.00
"Human Resources","Human Resources",1,Male,"Human Resources",3,Married,3,No,2143.00,36.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Female,"Life Sciences",3,Married,3,No,5155.00,31.5,2,0,0.00
"Research & Development","Laboratory Technician",2,Male,Medical,1,Single,3,No,5094.00,40.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Female,Medical,3,Single,2,Yes,6877.00,30.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Male,"Life Sciences",2,Married,2,No,4434.00,42.0,1,0,0.00
"Research & Development","Healthcare Representative",2,Male,"Life Sciences",1,Divorced,2,No,6288.00,38.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,"Life Sciences",3,Single,3,No,2553.00,34.0,1,0,0.00
Sales,"Sales Executive",2,Male,Medical,3,Single,2,No,5160.00,55.0,1,1,100.00
"Research & Development","Research Director",4,Male,"Life Sciences",2,Married,3,No,17159.00,43.0,1,0,0.00
"Research & Development","Research Director",3,Male,"Technical Degree",3,Divorced,3,Yes,12808.00,27.0,1,0,0.00
"Research & Development","Manufacturing Director",3,Male,Other,3,Single,4,No,10221.00,35.0,1,0,0.00
Sales,"Sales Executive",2,Female,Marketing,2,Married,3,Yes,4779.00,28.0,1,0,0.00
"Human Resources","Human Resources",1,Male,"Human Resources",3,Married,1,No,3737.00,34.0,1,0,0.00
Sales,Manager,4,Female,Marketing,1,Married,2,No,16307.00,51.0,1,0,0.00
"Research & Development","Healthcare Representative",2,Male,Medical,4,Single,2,No,5933.00,44.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,Medical,1,Single,2,No,3424.00,25.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,Medical,3,Single,2,No,3002.00,31.0,2,0,0.00
Sales,"Sales Executive",2,Male,"Life Sciences",2,Divorced,2,No,4403.00,32.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",2,Divorced,2,No,3761.00,30.0,1,0,0.00
Sales,"Sales Executive",3,Female,Marketing,1,Married,3,Yes,10934.00,53.0,1,0,0.00
Sales,"Sales Executive",3,Male,Marketing,4,Divorced,3,Yes,9998.33,42.7,3,1,33.33
"Research & Development","Research Scientist",2,Female,Medical,3,Married,2,No,5175.00,32.0,1,0,0.00
"Research & Development","Manufacturing Director",4,Female,Medical,3,Married,3,No,13826.00,52.0,1,0,0.00
"Human Resources","Human Resources",1,Male,Medical,2,Divorced,3,No,4936.00,28.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Male,"Life Sciences",4,Married,1,No,4775.00,22.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,"Life Sciences",1,Married,2,Yes,2818.00,44.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,Medical,2,Single,3,Yes,2475.50,43.0,2,0,0.00
"Human Resources","Human Resources",1,Male,"Life Sciences",1,Married,3,No,2342.00,36.0,1,0,0.00
Sales,"Sales Executive",2,Male,Other,3,Married,3,Yes,4194.00,25.0,1,0,0.00
"Research & Development","Manufacturing Director",3,Female,"Life Sciences",4,Married,3,Yes,10685.00,35.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,"Technical Degree",3,Married,3,No,3580.00,49.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,"Life Sciences",1,Married,2,No,2784.00,32.0,2,0,0.00
Sales,"Sales Representative",1,Male,Marketing,2,Married,3,No,2899.00,38.0,1,0,0.00
"Research & Development","Laboratory Technician",2,Female,"Life Sciences",3,Married,2,Yes,5231.00,42.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",4,Married,3,Yes,2356.00,31.0,1,0,0.00
Sales,"Sales Representative",1,Female,Medical,2,Divorced,3,Yes,2800.00,29.0,1,1,100.00
Sales,"Sales Executive",4,Male,Marketing,1,Married,3,No,11836.00,53.0,1,0,0.00
"Research & Development","Manufacturing Director",3,Male,"Technical Degree",4,Married,3,No,10903.00,35.0,1,0,0.00
Sales,"Sales Representative",1,Female,Medical,3,Married,3,No,2753.50,32.0,2,0,0.00
"Research & Development","Research Director",4,Female,"Life Sciences",4,Single,3,No,14275.00,53.0,1,0,0.00
"Research & Development","Healthcare Representative",2,Female,"Life Sciences",4,Married,2,No,5562.00,43.0,1,0,0.00
Sales,"Sales Executive",2,Female,Marketing,3,Married,3,Yes,4537.00,47.0,1,0,0.00
Sales,"Sales Executive",3,Male,Medical,1,Single,3,Yes,7642.00,37.0,1,0,0.00
"Research & Development",Manager,4,Male,"Life Sciences",1,Divorced,3,No,17373.50,45.0,2,0,0.00
"Human Resources","Human Resources",2,Female,"Life Sciences",4,Married,3,No,5204.00,39.0,1,0,0.00
"Human Resources","Human Resources",1,Male,"Human Resources",4,Divorced,4,Yes,2277.00,33.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,"Life Sciences",1,Single,1,Yes,2480.50,36.0,2,2,100.00
"Research & Development","Laboratory Technician",1,Female,Medical,1,Divorced,3,No,2532.00,29.0,1,0,0.00
Sales,"Sales Executive",2,Male,Medical,1,Single,3,No,4908.00,28.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,"Life Sciences",4,Divorced,2,Yes,2380.00,58.0,1,1,100.00
"Research & Development","Manufacturing Director",2,Female,"Life Sciences",1,Divorced,4,No,4765.00,43.0,1,0,0.00
Sales,"Sales Representative",1,Female,Medical,3,Single,2,No,2044.00,20.0,1,1,100.00
"Research & Development","Research Scientist",1,Female,Other,4,Single,2,No,2693.00,21.0,1,1,100.00
"Research & Development","Healthcare Representative",2,Male,"Life Sciences",3,Married,2,Yes,6586.00,36.0,1,0,0.00
Sales,"Sales Representative",1,Female,"Life Sciences",4,Single,2,Yes,3294.00,47.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Female,"Life Sciences",2,Married,4,Yes,4171.00,22.0,1,1,100.00
"Research & Development","Laboratory Technician",1,Female,"Life Sciences",2,Divorced,2,Yes,2778.00,41.0,1,1,100.00
"Research & Development","Laboratory Technician",1,Male,Medical,4,Married,1,Yes,2404.00,39.0,1,1,100.00
"Research & Development","Laboratory Technician",1,Male,"Life Sciences",2,Divorced,3,No,2008.00,34.0,1,0,0.00
Sales,"Sales Executive",2,Female,Medical,3,Single,3,No,6244.00,42.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,Other,3,Single,3,Yes,2799.00,33.0,1,0,0.00
"Research & Development","Healthcare Representative",3,Female,"Technical Degree",3,Divorced,3,Yes,10552.00,58.0,1,0,0.00
"Research & Development","Healthcare Representative",2,Female,"Life Sciences",4,Married,1,Yes,4014.00,35.0,1,0,0.00
"Research & Development","Laboratory Technician",3,Female,Other,1,Married,2,No,7403.00,49.0,1,0,0.00
Sales,"Sales Executive",2,Female,Marketing,4,Married,2,No,6932.00,31.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,Other,2,Single,3,No,4678.00,36.0,1,0,0.00
"Research & Development","Research Director",3,Female,"Technical Degree",4,Married,3,No,13582.00,38.0,1,0,0.00
Sales,"Sales Representative",1,Male,Marketing,3,Married,3,Yes,2413.00,25.0,1,1,100.00
Sales,"Sales Executive",3,Male,Marketing,1,Divorced,2,No,9705.00,40.0,1,0,0.00
Sales,"Sales Executive",2,Male,Medical,3,Single,3,No,5249.50,30.5,4,0,0.00
"Research & Development","Laboratory Technician",1,Male,Medical,4,Single,3,Yes,4355.00,32.0,2,1,50.00
Sales,"Sales Representative",1,Male,Other,4,Single,4,Yes,2121.00,19.0,1,1,100.00
"Research & Development","Laboratory Technician",1,Male,"Technical Degree",1,Single,3,No,2973.00,20.0,1,1,100.00
"Research & Development","Healthcare Representative",2,Female,Medical,4,Married,1,Yes,5855.00,31.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,Medical,4,Divorced,3,Yes,3617.00,40.0,1,0,0.00
Sales,"Sales Executive",3,Male,"Life Sciences",3,Married,3,Yes,10019.00,35.0,2,1,50.00
"Research & Development","Healthcare Representative",2,Female,"Life Sciences",2,Single,3,No,6949.00,33.0,1,0,0.00
Sales,"Sales Executive",3,Male,"Life Sciences",1,Married,1,No,10609.00,37.0,1,1,100.00
"Research & Development","Laboratory Technician",2,Male,"Life Sciences",3,Married,2,No,4447.00,45.0,1,0,0.00
Sales,"Sales Representative",1,Female,"Technical Degree",3,Married,3,No,2157.00,29.0,1,0,0.00
Sales,"Sales Executive",2,Female,Medical,3,Married,3,No,4601.00,35.0,1,0,0.00
"Research & Development",Manager,4,Male,"Life Sciences",4,Married,2,No,17099.00,52.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,"Technical Degree",4,Single,3,No,2459.00,45.0,2,1,50.00
Sales,Manager,4,Male,Medical,3,Divorced,4,No,14852.00,53.0,1,0,0.00
Sales,"Sales Executive",3,Male,Other,3,Divorced,4,No,7264.00,30.0,1,0,0.00
Sales,"Sales Executive",2,Female,"Technical Degree",3,Single,3,Yes,5666.00,38.0,1,0,0.00
Sales,"Sales Executive",3,Male,"Life Sciences",4,Divorced,3,No,7823.00,35.0,1,0,0.00
Sales,"Sales Executive",4,Female,"Life Sciences",2,Single,2,Yes,13194.00,40.0,1,1,100.00
"Research & Development","Manufacturing Director",2,Male,Medical,3,Divorced,4,Yes,5067.00,47.0,1,0,0.00
Sales,"Sales Executive",2,Male,"Technical Degree",1,Divorced,3,No,5079.00,36.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,Medical,3,Single,3,Yes,2321.00,31.0,1,1,100.00
"Research & Development","Research Scientist",1,Female,"Life Sciences",4,Single,3,Yes,2399.00,28.0,2,2,100.00
"Research & Development","Laboratory Technician",1,Female,Medical,4,Divorced,3,No,2270.00,45.0,1,0,0.00
"Research & Development","Research Director",4,Male,Medical,4,Divorced,2,No,17399.00,50.0,1,0,0.00
"Research & Development","Healthcare Representative",2,Female,Other,3,Married,3,Yes,5488.00,33.0,1,0,0.00
"Research & Development","Research Director",5,Male,Medical,1,Divorced,4,No,19419.00,41.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Female,"Technical Degree",3,Married,3,No,2811.00,27.0,1,0,0.00
"Research & Development","Laboratory Technician",2,Male,"Life Sciences",4,Married,3,Yes,5052.50,42.0,2,0,0.00
Sales,"Sales Executive",2,Female,"Life Sciences",4,Single,3,Yes,4163.00,47.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,"Life Sciences",1,Married,3,Yes,2132.00,30.0,1,1,100.00
"Research & Development","Manufacturing Director",4,Male,"Life Sciences",4,Married,3,Yes,13687.50,53.0,2,0,0.00
"Research & Development","Research Scientist",1,Male,Medical,3,Married,2,No,2684.00,38.0,1,0,0.00
"Research & Development","Manufacturing Director",3,Male,Medical,4,Divorced,3,No,10845.00,46.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,Other,3,Divorced,1,Yes,3743.00,35.0,1,1,100.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",2,Single,3,No,1051.00,18.0,1,0,0.00
"Research & Development","Manufacturing Director",3,Female,"Technical Degree",3,Married,3,No,10454.00,53.5,2,1,50.00
"Research & Development","Healthcare Representative",3,Female,Medical,3,Divorced,2,Yes,10388.00,35.0,1,0,0.00
"Research & Development","Research Director",3,Female,"Life Sciences",2,Married,2,Yes,11416.00,30.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,Medical,4,Single,3,Yes,2600.00,20.0,1,1,100.00
"Research & Development","Manufacturing Director",2,Male,Medical,4,Married,3,No,5383.50,32.5,2,0,0.00
"Research & Development","Laboratory Technician",1,Male,"Life Sciences",2,Married,2,No,2451.00,22.0,1,0,0.00
"Research & Development","Healthcare Representative",2,Male,"Life Sciences",1,Single,3,No,4240.00,48.0,1,0,0.00
"Research & Development","Healthcare Representative",3,Male,"Life Sciences",3,Single,3,No,10999.00,48.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Female,Medical,4,Single,3,No,5003.00,41.0,1,0,0.00
"Research & Development","Manufacturing Director",4,Female,"Life Sciences",4,Married,3,No,12742.00,39.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,Other,2,Divorced,2,No,3917.00,35.0,1,0,0.00
Sales,Manager,5,Male,Marketing,4,Married,4,No,18303.00,42.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,"Life Sciences",1,Married,3,No,3270.33,37.7,3,0,0.00
"Research & Development","Manufacturing Director",4,Female,"Life Sciences",3,Single,3,Yes,13726.00,59.0,1,0,0.00
"Research & Development","Healthcare Representative",2,Female,Medical,1,Married,1,No,4777.00,37.0,1,1,100.00
"Research & Development","Healthcare Representative",2,Male,Medical,3,Married,3,Yes,6385.00,55.0,1,0,0.00
"Research & Development","Research Director",5,Female,"Life Sciences",2,Divorced,3,No,19973.00,41.0,1,0,0.00
Sales,"Sales Executive",2,Male,"Life Sciences",2,Single,3,Yes,6861.00,38.0,1,0,0.00
Sales,Manager,5,Female,Marketing,1,Married,3,No,19845.00,52.0,1,1,100.00
Sales,"Sales Executive",4,Female,Medical,4,Married,3,Yes,13320.00,44.0,1,0,0.00
Sales,"Sales Executive",2,Female,"Life Sciences",4,Married,3,No,5096.00,41.0,3,0,0.00
"Research & Development","Manufacturing Director",3,Female,Medical,4,Single,3,Yes,10880.00,39.0,1,0,0.00
Sales,"Sales Representative",1,Female,"Life Sciences",2,Single,2,No,2342.00,33.0,1,0,0.00
Sales,Manager,4,Female,"Life Sciences",4,Married,4,No,17650.00,45.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Female,Medical,4,Single,3,No,3232.50,35.0,2,0,0.00
Sales,"Sales Executive",2,Male,Marketing,2,Divorced,2,No,9725.00,34.0,1,0,0.00
Sales,Manager,3,Male,"Technical Degree",2,Married,1,Yes,11904.00,59.0,1,0,0.00
"Human Resources","Human Resources",1,Male,Medical,2,Single,3,No,2177.00,45.0,1,0,0.00
Sales,"Sales Executive",3,Female,Marketing,3,Married,3,No,8973.50,42.5,2,0,0.00
"Research & Development","Laboratory Technician",2,Male,Other,1,Divorced,2,No,4834.00,36.0,1,1,100.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",1,Married,3,Yes,2042.00,26.0,1,1,100.00
Sales,"Sales Representative",1,Female,"Life Sciences",3,Married,3,Yes,2220.00,34.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,Other,3,Married,3,No,2821.00,38.0,1,0,0.00
"Research & Development","Research Director",5,Male,Medical,2,Married,2,Yes,19237.00,50.0,1,0,0.00
"Research & Development","Healthcare Representative",2,Female,Other,4,Single,2,No,4107.00,37.0,1,0,0.00
Sales,"Sales Executive",2,Male,Marketing,3,Married,2,No,8396.00,40.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,Medical,1,Divorced,3,No,2007.00,26.0,1,0,0.00
"Research & Development","Research Director",5,Male,Medical,4,Divorced,3,No,19627.00,46.0,1,0,0.00
Sales,"Sales Executive",3,Female,"Life Sciences",3,Married,3,No,9000.00,50.0,2,1,50.00
"Research & Development","Manufacturing Director",3,Female,Medical,4,Single,2,No,8858.00,36.0,1,0,0.00
"Research & Development",Manager,4,Male,Medical,3,Single,4,No,16756.00,55.0,1,0,0.00
Sales,"Sales Executive",3,Male,Medical,3,Divorced,3,No,10798.00,43.0,1,0,0.00
"Research & Development","Research Scientist",2,Female,"Life Sciences",4,Divorced,3,Yes,4615.00,46.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",1,Married,4,Yes,2461.00,51.0,1,1,100.00
"Research & Development","Healthcare Representative",3,Male,"Technical Degree",2,Single,2,No,8722.00,28.0,1,1,100.00
"Research & Development","Manufacturing Director",2,Male,Other,3,Married,2,No,9957.00,30.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,"Technical Degree",2,Married,3,No,3376.00,41.0,1,0,0.00
"Research & Development","Healthcare Representative",3,Male,"Technical Degree",1,Married,3,No,10322.00,40.0,1,0,0.00
"Research & Development","Manufacturing Director",3,Male,"Life Sciences",4,Married,3,No,10976.00,55.0,1,0,0.00
"Research & Development","Research Scientist",2,Female,Other,3,Single,4,No,3660.00,28.0,1,0,0.00
"Human Resources","Human Resources",3,Male,Medical,2,Married,3,No,10482.00,44.0,1,1,100.00
"Research & Development","Healthcare Representative",3,Male,"Life Sciences",4,Divorced,3,No,7119.00,33.0,1,0,0.00
Sales,"Sales Executive",3,Male,"Technical Degree",4,Single,3,Yes,9582.00,35.0,1,1,100.00
"Research & Development","Research Scientist",2,Female,Medical,1,Single,3,No,4508.00,33.0,1,1,100.00
"Research & Development","Laboratory Technician",1,Male,"Life Sciences",1,Divorced,2,No,2207.00,28.0,1,0,0.00
"Research & Development","Healthcare Representative",2,Male,"Life Sciences",1,Single,2,No,7756.00,34.0,1,0,0.00
Sales,"Sales Executive",2,Female,"Life Sciences",4,Divorced,3,Yes,6694.00,37.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,"Technical Degree",4,Married,4,Yes,3691.00,25.0,1,1,100.00
"Research & Development","Laboratory Technician",1,Male,Medical,1,Divorced,2,No,2377.00,26.0,1,1,100.00
"Research & Development","Research Scientist",1,Male,Medical,1,Single,3,Yes,2313.00,33.0,1,1,100.00
"Research & Development",Manager,4,Male,Medical,4,Married,3,No,17665.00,42.0,1,0,0.00
Sales,"Sales Executive",2,Male,Other,4,Single,3,Yes,4728.00,50.0,1,1,100.00
"Research & Development",Manager,4,Male,Medical,1,Single,2,No,16885.00,48.0,1,0,0.00
Sales,"Sales Executive",2,Female,"Life Sciences",2,Married,3,No,5593.00,45.0,1,0,0.00
"Research & Development","Healthcare Representative",3,Male,"Life Sciences",2,Single,3,No,10445.00,52.0,1,0,0.00
Sales,"Sales Executive",3,Male,Marketing,3,Divorced,3,Yes,8740.00,38.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,"Life Sciences",3,Divorced,3,No,2514.00,29.0,1,0,0.00
"Research & Development","Manufacturing Director",3,Female,Medical,4,Divorced,2,No,7655.00,28.0,1,0,0.00
Sales,Manager,4,Male,Marketing,1,Married,3,No,17465.00,46.0,1,0,0.00
Sales,"Sales Executive",3,Male,Marketing,4,Single,3,No,8296.00,39.5,2,0,0.00
"Research & Development","Healthcare Representative",4,Male,"Life Sciences",1,Divorced,3,No,12169.00,39.0,1,1,100.00
"Research & Development","Research Director",5,Male,Medical,3,Single,4,No,19626.00,40.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,"Technical Degree",4,Single,4,Yes,2070.00,21.0,1,0,0.00
"Research & Development","Laboratory Technician",2,Male,"Life Sciences",3,Single,2,No,6782.00,39.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Male,"Life Sciences",1,Single,3,No,6156.50,37.5,2,0,0.00
Sales,"Sales Representative",1,Male,"Life Sciences",3,Married,3,No,2791.00,31.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",1,Married,1,No,3201.00,28.0,1,0,0.00
Sales,"Sales Executive",4,Male,"Technical Degree",4,Married,3,No,13120.00,49.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Male,"Life Sciences",4,Single,2,No,4033.00,34.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,"Life Sciences",4,Divorced,2,No,3291.00,29.0,1,0,0.00
"Research & Development","Laboratory Technician",2,Male,Medical,2,Single,3,No,4272.00,42.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Male,Medical,2,Married,2,Yes,5056.00,29.0,1,0,0.00
"Human Resources","Human Resources",1,Male,"Human Resources",3,Married,4,No,2844.00,38.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",3,Divorced,3,Yes,2703.00,28.0,1,0,0.00
Sales,"Sales Executive",2,Female,Marketing,1,Single,3,Yes,8751.00,34.5,2,1,50.00
"Research & Development","Laboratory Technician",1,Male,"Life Sciences",2,Married,3,Yes,4766.00,41.0,1,0,0.00
"Research & Development","Healthcare Representative",2,Female,Medical,3,Divorced,3,No,6199.00,34.5,2,0,0.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",4,Married,3,No,2421.75,31.0,4,0,0.00
Sales,"Sales Executive",2,Female,"Life Sciences",2,Married,2,No,5714.00,34.0,1,0,0.00
"Human Resources","Human Resources",1,Male,"Technical Degree",3,Single,1,No,4323.00,35.0,1,0,0.00
Sales,"Sales Executive",3,Female,"Life Sciences",4,Married,1,No,7336.00,29.0,1,1,100.00
"Research & Development","Research Director",3,Female,Medical,2,Single,2,No,13499.00,40.0,1,0,0.00
Sales,"Sales Executive",4,Male,"Life Sciences",3,Single,2,Yes,13758.00,42.0,1,1,100.00
Sales,"Sales Executive",2,Male,Marketing,2,Single,4,No,5155.00,42.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Female,"Life Sciences",3,Married,2,Yes,2515.00,28.0,1,1,100.00
"Research & Development","Research Scientist",2,Female,Medical,3,Married,1,Yes,4422.00,40.0,1,0,0.00
"Research & Development","Healthcare Representative",2,Male,Medical,4,Single,3,No,5343.00,34.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,Other,4,Married,4,No,2376.00,35.0,1,0,0.00
Sales,"Sales Executive",2,Female,Marketing,1,Single,2,No,5346.00,43.0,1,1,100.00
Sales,"Sales Representative",1,Female,"Life Sciences",3,Divorced,3,No,2827.00,32.0,1,0,0.00
"Research & Development",Manager,5,Female,"Technical Degree",4,Divorced,3,No,19943.00,56.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Female,Medical,2,Married,3,No,3131.00,29.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,Medical,1,Married,2,Yes,4477.00,45.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Female,"Life Sciences",4,Married,2,No,6474.00,37.0,1,0,0.00
"Research & Development",Manager,5,Female,Medical,4,Divorced,3,No,18606.00,53.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,"Life Sciences",2,Married,2,Yes,2550.50,27.5,2,0,0.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",3,Married,3,Yes,3118.33,31.3,3,1,33.33
Sales,Manager,4,Female,Marketing,3,Married,3,No,17048.00,46.0,1,0,0.00
"Human Resources","Human Resources",1,Male,"Human Resources",2,Married,3,No,3600.00,33.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",1,Divorced,1,No,1835.00,34.5,2,1,50.00
Sales,"Sales Executive",2,Male,"Life Sciences",3,Divorced,3,No,6450.00,34.8,4,0,0.00
Sales,"Sales Executive",2,Male,Medical,2,Married,3,No,4327.00,40.0,1,0,0.00
"Research & Development",Manager,4,Female,Medical,4,Married,3,No,17856.00,50.0,1,0,0.00
Sales,"Sales Executive",2,Male,"Life Sciences",3,Married,3,Yes,7900.00,31.5,2,0,0.00
"Research & Development","Laboratory Technician",1,Female,"Life Sciences",4,Married,1,No,2210.00,24.0,1,1,100.00
"Research & Development","Laboratory Technician",2,Male,"Life Sciences",3,Divorced,2,No,3491.00,30.0,1,0,0.00
"Research & Development","Research Scientist",2,Male,Other,4,Single,3,No,4541.00,44.0,1,0,0.00
Sales,"Sales Representative",1,Male,Marketing,3,Single,3,No,2678.00,20.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Male,"Technical Degree",4,Divorced,2,No,7379.00,46.0,1,0,0.00
"Human Resources","Human Resources",2,Male,Medical,4,Married,4,No,6272.00,42.0,1,0,0.00
Sales,"Sales Executive",2,Male,Marketing,2,Divorced,3,Yes,5480.33,46.0,3,1,33.33
"Research & Development","Laboratory Technician",1,Female,Other,3,Married,3,No,2743.00,32.0,1,0,0.00
"Research & Development","Manufacturing Director",3,Female,"Technical Degree",3,Divorced,3,Yes,10252.00,36.0,1,0,0.00
Sales,"Sales Executive",2,Female,"Technical Degree",2,Divorced,4,No,6852.00,40.0,1,0,0.00
Sales,"Sales Executive",2,Male,"Life Sciences",3,Single,3,No,4924.00,26.5,2,0,0.00
"Research & Development","Research Scientist",1,Male,Medical,4,Married,3,Yes,3255.50,32.0,2,0,0.00
"Research & Development","Research Director",3,Female,Medical,1,Married,3,Yes,13191.00,42.0,1,0,0.00
Sales,"Sales Executive",3,Female,Marketing,3,Married,2,Yes,10377.00,35.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",1,Married,2,Yes,2235.00,27.0,1,0,0.00
"Research & Development","Manufacturing Director",3,Female,"Life Sciences",4,Divorced,1,No,10502.00,54.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,"Life Sciences",1,Married,3,No,2036.00,35.0,2,0,0.00
"Research & Development","Research Scientist",1,Female,Medical,1,Single,4,Yes,1859.00,19.0,1,1,100.00
"Research & Development","Research Scientist",1,Female,"Life Sciences",1,Divorced,3,No,3760.00,29.0,1,0,0.00
"Research & Development","Research Director",4,Male,"Life Sciences",4,Married,3,No,17779.00,54.0,1,0,0.00
"Research & Development","Healthcare Representative",2,Male,Medical,3,Married,2,Yes,6833.00,31.0,1,0,0.00
"Research & Development","Healthcare Representative",2,Female,Medical,3,Single,3,No,6812.00,31.0,1,0,0.00
Sales,"Sales Executive",2,Female,"Life Sciences",3,Single,3,No,5171.00,59.0,1,0,0.00
"Research & Development","Research Director",5,Male,"Life Sciences",3,Married,3,No,19740.00,43.0,1,0,0.00
"Research & Development",Manager,5,Male,Medical,1,Married,4,No,18711.00,49.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,"Technical Degree",3,Married,2,No,3314.00,39.0,2,0,0.00
"Research & Development","Laboratory Technician",1,Male,"Technical Degree",4,Single,2,No,2559.00,48.0,1,0,0.00
"Research & Development","Healthcare Representative",2,Male,"Life Sciences",3,Divorced,3,Yes,6623.00,29.0,1,0,0.00
"Research & Development","Research Director",5,Male,"Life Sciences",4,Single,4,No,18265.00,48.0,1,0,0.00
"Research & Development","Research Director",4,Female,"Life Sciences",4,Divorced,2,No,16124.00,29.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,"Technical Degree",3,Married,2,No,2585.00,34.0,1,0,0.00
Sales,Manager,5,Male,Marketing,2,Married,3,No,18213.00,44.0,1,0,0.00
Sales,"Sales Representative",1,Male,"Life Sciences",3,Single,3,Yes,1118.00,25.0,1,1,100.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",3,Single,2,Yes,2875.00,26.0,1,0,0.00
